ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Archaeological Period From,Archaeological Period To,Artefact Description,Cadastral Reference,Completeness,Condition Type,Conservation,Depth of Discovery,Dimensions Weight,Discovery Date,End Date Precision Type,End Date Type,External Identifier Type,External Source,Finder,Folio_No,Image,Land Use,Manufacture Method,Material,Measurement Type,Measurement Unit,Name,Name Type,Place Address,Place Description,Place Name,Place Type,Primary Reference Number,Record Type,Recovery Method,Secondary Material,Spatial Accuracy Type,Spatial Coordinates Geometry,Spatial Metadata Note,Start Date Precision Type,Start Date Type,Subsequent Action,Surface Treatment
77141af0-1e91-0138-8d70-740f24312a1c,,St. Ouen,Parish,,,Broken half of stone rubber with bored hole through the centre. Dimensions:  Length: 6.70cm Width: 6.65cm Thickness: 3.70cm,,,,,,,,,,,,,,,,,Stone,Metric,Millimetres/grams,Hammer,,,,,,0900393,,,,,GEOMETRYCOLLECTION (POINT (-2.097693 49.182976)),Findspot known as ‘St Ouen’; location protected and marked as Jersey Archive.,,,,
52259bf0-7a6f-0138-ef30-740f24312a1c,,Grouville,Parish,Neolithic 4000-2601 BCE,Neolithic 4000-2601 BCE,A honey coloured flint flake. ,,Complete,,,Half a foot,20mm x 19mm x 8mm 2.38g,2019-08-01,,,,,,,/files/uploadedfiles/0300219.jpg,Cultivated land,Knapped/flaked,Stone,Metric,Millimetres/grams,Flake,Certain,,,,,0300219,,Chance find during metal detecting,,,GEOMETRYCOLLECTION (POINT (-2.0977 49.182973)),Findspot known as ‘Grouville’; location protected and marked as Jersey Archive.,,,Returned to Finder,
a574f3f4-251c-11ec-8701-0275d4869ef4,Field Number,St. Brelade,Parish,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,"An incomplete, base-silver (billon) Post-Medieval Douzain du Dauphine, Charles IX of France, dating 1560-1574.  Obverse description: Worn shield of arms. Reverse description:  Cross fourchée surrounded by illegible inscription.",,Incomplete,Untreated,,6 inches,"Diameter: 23mm, Weight: 1.37g",2021-06-01,,,,,,,/files/uploadedfiles/TEMP.2021.F33_-_Charles_IX_of_France_Douzain_de_Dauphine.jpg,Cultivated land,Struck or hammered,Base Silver,Metric,Millimetres/grams,Coin,Certain,St. Brelade,,St. Brelade,,0100491,,Metal detector,,,GEOMETRYCOLLECTION (POINT (-2.097996 49.182965)),Findspot known as ‘St. Brelade’; location protected and marked as Jersey Archive. ,,,,
0ac377b2-fc32-11eb-8701-0275d4869ef4,Intertidal,St. Helier,Parish,Post Medieval 1540-1901 CE,Modern 1901 CE-,"Concavo-convex die stamped button of the post-medieval to modern period, c.mid-19th to 20th century. It was probably a single-piece button, though the loop is lost. The front of the button remains entirely gilded, whereas the back bears only traces of gilding. The front of the button bears a very worn unidentified coat of arms. The centre of the coat of arms consists of two ovals, the left overlapping the right. The left oval possibly displays a ""W"" in its centre. Flanking the central device are two supporters, a horse or unicorn to the left and probably a lion to the right. A helmet possibly sits above the coat of arms. 	 The size of the button implies that it was probably a jacket or waistcoat livery button.  Livery buttons were worn on the uniforms of servants of families on special occasions.",,Incomplete,Untreated,,20-25,Diameter: 27.37mm  Weight: 6.0g,2021-01-14,,,,,,,/files/uploadedfiles/0401481_LIVERY_BUTTON.jpg,Intertidal,Struck or hammered,,Metric,Millimetres/grams,Button,Certain,Havre des Pas beach,,Havre des Pas beach,,0401481,,Metal detector,,Accurate to 100 metres,GEOMETRYCOLLECTION (POINT (-2.101288 49.177108)),,,,Returned to Finder,Multiple
7713fe30-1e91-0138-8d70-740f24312a1c,,St. Ouen,Parish,,,Round edged triangular polished dolerite axe with bevelled end made of Porphyritic Ophitic Dolerite - petrosample cut from it.  Dimensions:  Length: 8.40cm Width: 4.65cm Thickness: 2.65cm,,,,,,,,,,,,,,,,,Stone,Metric,Millimetres/grams,Axe,,,,,,0900397,,,,,GEOMETRYCOLLECTION (POINT (-2.097693 49.182976)),Findspot known as ‘St Ouen’; location protected and marked as Jersey Archive.,,,,
7e2377c6-3afc-11ec-8701-0275d4869ef4,Field Number,St. Clement,Parish,Medieval 934-1539 CE,Medieval 934-1539 CE,"A complete lead seal matrix of Medieval date (AD 1200-1300). The object is flat and circular in plan.  The obverse of the object has a central incised design consisting of a sailing ship with prominent sails above a curved hull. This implies that the seal was of a merchant or sailor, possibly relating to the Hanseatic league, a commercial and defensive confederation of merchant guilds and market towns in central and northern Europe.  The ship is surrounded by a moderately abraded inscription in retrograde, within an inner and outer circular border. The inscription starts at twelve o'clock and runs retrograde (anti-clockwise) around the matrix. The inscription reads  +S'RICKART'AHS[…]VET II or +S'RICHART'AHS[…]VET II.  The reverse of the matrix bears the remains of a deformed lug at the top of the object, with a ridge that travels through the centre to the bottom of the object.    The metal is grey in colour with a slightly pitted patina.  Seals of this style that predominated throughout the thirteenth century, with legend simply naming the owner. This group of relatively simple non-heraldic designs and crude personal inscriptions belong to the 13th- century (Harvey and McGuinness 1996. 79-80).  Inscription: +S'RICKART'AHS[…]VET II or +S'RICHART'AHS[…]VET II  Ref: Harvey, P.D.A. & McGuiness, A. (1996) A Guide to British Medieval Seals. Toronto: University of Toronto Press",,Complete,,,Plough soil,"Diameter: 25.68mm, thickness without lug: 2.34mm, thickness with lug: 6.94mm, weight: 7.8g",1990-01-01,,,,,,,"/files/uploadedfiles/temp.2021.f44.4.JPG,/files/uploadedfiles/temp.2021.f44.3.jpg",Cultivated,Cast,Lead,Metric,Millimetres/grams,Seal matrix,Certain,C193,,C193,,0200227,,Metal detector,,Accurate to 100 metres,GEOMETRYCOLLECTION (POINT (-2.057034 49.174899)),,,,,Incised or engraved or chased
261e74fa-3574-11ec-8701-0275d4869ef4,Field Number,St. Brelade,Parish,Gallo-Roman 51 BCE-451 CE,Gallo-Roman 51 BCE-451 CE,Société Jersiaise Finds Record Entry SJFR92 (2017) reads: A fragment of heavily corroded copper alloy Roman plate brooch with a light green patina. There is one edge with a tapering shape and the remains of a pin clasp on the back. The overall condition is very poor. See similar examples at: https://finds.org.uk/database/artefacts/record/id/585785,,Fragment,,,,Dimensions:	22.5mm x 12mm x 7mm Weight:	5.3g,2017-06-30,,,,,,,/files/uploadedfiles/0100502_-_roman_brooch_2.JPG,Cultivated,Cast,Copper alloy,Metric,Millimetres/grams,Plate brooch,Certain,St. Brelade,,St. Brelade,,0100502,,Metal detector,,,GEOMETRYCOLLECTION (POINT (-2.097996 49.182965)),Findspot known as ‘St. Brelade’; accurate location protected and marked as Jersey Archive.,,,Returned to Finder,
0d10f5b0-1e7a-0138-8d61-740f24312a1c,,Grouville,Parish,,,Half of a statuette that may be Hercules or Mercury.,,,,,,,,,,,,,,,,,Copper alloy,Metric,Millimetres/grams,Statuette,,,,,,0300340,,Metal detector,,,GEOMETRYCOLLECTION (POINT (-2.097693 49.182976)),Findspot known as ‘Grouville’; location protected and marked as Jersey Archive.,,,,
33c16b70-193b-0138-c588-740f24312a1c,,St. Helier,Parish,,,"Two pieces of flint were discovered in David Place.  One is a blade which is long, narrow and has been worked on both sides (8.3cm x 3.2cm x 1.0cm). The other is a small circular flint (2.75cm x 2.25cm x 0.65cm). ",,,,,,Blade: 8.3cm x 3.2cm x 1.0cm Circular: 2.75cm x 2.25cm x 0.65cm,,,,,,,,,,,Flint,Metric,Millimetres/grams,Flint implement,,,,,,0400809,,,,Accurate to 1km,GEOMETRYCOLLECTION (POINT (-2.103061 49.189035)),,,,,
791be4c0-19c2-0138-c5a6-740f24312a1c,,St. Clement,Parish,,,Small orange pottery flask with pointed base and flattened side.  Dimensions:  Length: 11.45 cm Width: 5.85 cm  Thickness 5.45 cm  Brought in by J.R. Phelps,,,,,,,,,,,,,,,,,Ceramic,Metric,Millimetres/grams,Flask,,,,,,0200163,,,,Accurate to 100 metres,GEOMETRYCOLLECTION (POINT (-2.095304 49.174691)),,,,,
640e87da-317f-11ec-8701-0275d4869ef4,Field Number,St. Ouen,Parish,Iron Age 700-51 BCE,Gallo-Roman 51 BCE-451 CE,"A complete silver stater of the Armorican Coriosolites (Coriosolitae) Series Y, Class III, Group L or M, c.1st century BCE (Hooker 2002, p.49). The coin is well worn, particularly on the obverse. 		 Obverse:  Well worn head facing right. Eye and ghost of head still visible.  Reverse:  Horse/pony facing right. Each of the forelegs terminates in a bead at the top: one bead is set at the base of the shoulder ridge. The head of the ""driver"" is still slightly visible, the tail is almost worn away. A ""Union Jack"" like symbol can be seen to the right of the horse. A representation of a boar is below the horse.  References: Hooker, J. (2002) Celtic Improvisations: An Art Historical Analysis of Coriosolite Coins. Oxford, Archaeopress. (p.49).",,Complete,,,,"Weight: 4.0g, Diameter: 20.6mm ",2021-08-01,,,,,,,/files/uploadedfiles/0900427_-_coriosolite_coin.jpg,Cultivated land,Struck or hammered,Silver,Metric,Millimetres/grams,Coin,Certain,St. Ouen,,St. Ouen,,0900427,,Metal detector,,,,Findspot known as ‘St. Ouen’; accurate location protected and marked as Jersey Archive.,,,,Stamped
76c90dee-333e-11ec-8701-0275d4869ef4,Field Number,St. Ouen,Parish,Gallo-Roman 51 BCE-451 CE,Early Medieval 450-933 CE,"Société Jersiaise Finds Record Entry SJFR63 (2017) reads: A torus shaped polished blue glass bead, with white flecks on the surface (Roman or Early Medieval c. 100 – 600 AD). The blue colour has been made by adding a copper alloy to the glass before heating. The bead is slightly thicker at one point. There is a small amount of damage on the surface and some internal cracks through the body of the glass. The overall condition is fair. See similar examples at: https://finds.org.uk/database/artefacts/record/id/833771",,Complete,,,,"Dimensions:	8mm diameter, 3mm inlet, 5.5mm height, Weight: 0.47g",2017-06-13,,,,,,,/files/uploadedfiles/0900432_-_Roman_glass_bead.JPG,Cultivated,Hand made,Glass,Metric,Millimetres/grams,Bead,Certain,St. Ouen,,St. Ouen,,0900432,,Chance find during metal detecting,,,,,,,Donated to SJ,
791c2ae0-19c2-0138-c5a6-740f24312a1c,,St. Clement,Parish,,,Polished chert axe - a square edged rectangular axe with bevelled end.  Dimensions:  Length: 8.90 cm  Width: 5.55 cm  Thickness: 2.80 cm ,,,,,,,,,,,,,,,,,Stone,Metric,Millimetres/grams,Axe,,,,,,0200176,,,,Accurate to 1km,GEOMETRYCOLLECTION (POINT (-2.076107 49.168499)),,,,,
33c1a6f0-193b-0138-c588-740f24312a1c,,St. Helier,Parish,,,"Two axes were found in the Mont Cochon area, it is unknown if they were from the same site.  One is a round edged triangular polished chert axe with bevelled end. The other is a round edged oblong polished diorite axe with bevelled end. ",,,,,,Chert axe: 11.60cm x 6.30cm x 2.35cm Diorite axe: 13.95cm x 6.15cm x 3.35cm ,,,,,,,,,,Knapped/flaked,Stone,Metric,Millimetres/grams,Axe,,,,,,0400863,,,,Accurate to 10km,GEOMETRYCOLLECTION (POINT (-2.128937 49.2067)),,,,,
8b30ca50-317d-11ec-8701-0275d4869ef4,Field Number,Grouville,Parish,Gallo-Roman 51 BCE-451 CE,Gallo-Roman 51 BCE-451 CE,"Cast copper-alloy Early Medieval Irish house-shrine mount. This broadly trapezoid plate bears a depiction of two  stylised mirrored 'birds' facing outwards from the centre of the object. The eyes of the birds are formed of concentric circles of yellow champleve enamel.  Next to each eye on the object protrudes  a downward pointing triangular beak, containing a triangular cell that was likely also enamelled.  Between the heads of the birds lies a central lozenge shaped cell with remaining traces of enamel, flanked  on its upper sides by two triangular cells. Beneath this lozenge cell  is a third concentric circle, identical to each birds eye. Either side of this circle are three rectangular cells moving at a diagonal angle to meet the heads of the birds, making up the ""bodies"" of the birds. The middle of each of these rectangular cells still hold their yellow enamelling.  Champleve enamelling was a popular technique in the Gallo-Roman period through to the Early Medieval period. Glass is fired to form a solid and fused onto a metal surface, usually placed inside shapes made by thin wire or laid into incised areas of the surface.  The rear of the object bears a side-handle mount.   Kevil Leahy, the Portable Antiquity Scheme National Finds Adviser of Early Medieval metalwork comments:  ""'I think that this find many well be indeed Irish, the champleve enamel resembles that used on the Oseberg enamelled mount. I don't think that it's a brooch and feel that it is best interpreted as a side-handle mount from a house-shrine - the loop fitting looks right for this. Viking loot from Jersey would present no problems; they were active on both sides of the channel..."".  Further analysis of this object is ongoing and will be updated in due course.",,Incomplete,Conserved,,Plough soil,"Weight: 7.0g, Length: 31.9mm, Width: 20.2mm, Thickness: 2.8mm, Thickness incl. loop: 8.5mm.",1990-01-01,,,,,,,/files/uploadedfiles/0300389_1_-_brooch.jpg,Cultivated,Cast,Copper alloy,Metric,Millimetres/grams,Portable shrine,Probable,G580,,Field G580,,0300389,,Metal detector,Enamel,Accurate to 100 metres,GEOMETRYCOLLECTION (POINT (-2.034964 49.169904)),G580,,,,Inlaid with enamel
396454f0-1e8d-0138-8d6d-740f24312a1c,,St. Mary,Parish,,,Greywacke Axe - round edged triangular axe with bevelled end.  Dimensions:  Length: 8.75 cm  Width: 4.80 cm  Thickness: 2.30 cm  Brought in by Gruchy.,,,,,,,,,,,,,,,,,Stone,Metric,Millimetres/grams,Axe,,,,,,0800208,,,,,GEOMETRYCOLLECTION (POINT (-2.097693 49.182976)),Findspot known as ‘St Mary’; location protected and marked as Jersey Archive.,,,,
6a7ff7a8-fb82-11eb-8701-0275d4869ef4,,St. Ouen,Parish,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,"A modern (19th century) military ID bracelet with a silver tag and iron chain. The silver tag is sub-circular, 35.49mm in length, 25.20mm in width, and 0.87mm in thickness. The iron chain is 1.46mm in length, 5.45mm in width and 1.45mm in thickness. It weights 13.3g.   The obverse of the tag is stamped with the lettering ""LEPREVOST - LOUIS - 1896"". The reverse of the tag is stamped the lettering  ""CHERBOURG - 486"".  This is the ID of Frenchman Louis Eugene Leprevost (26/10/1876 - 17/09/1926) in Moitiers d'Allaine Barneville, Manche, France. He was in the 80th Regiment Infantry Cherbourg, France. According to his Alien (Registration) card (no. J. 2186), he moved to Jersey  in 18/12/20.",,Complete,Untreated,,,"Tag: Length: 35.49mm, Width: 25.20mm, Thickness: 0.87mm Chain: Length: 146mm, Width: 5.45mm, Thickness: 1.45mm, Weight: 13.3g.",,,,,,,,/files/uploadedfiles/HER_0900411_-_Military_Bracelet_1.png,,Struck or hammered,Silver,Metric,Millimetres/grams,Military equipment,Certain,Les Landes,,Les Landes,,0900411,,Other chance find,Iron,Accurate to 100 metres,GEOMETRYCOLLECTION (POINT (-2.248213193272958 49.25037716472222)),Found on the surface of Les Landes heathland,,,Donated to JHT,Stamped
5225c0c0-7a6f-0138-ef30-740f24312a1c,,St. Lawrence,Parish,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,"A seaworn copper alloy novelty tobacco pipe tamper of the Post-Medieval period, dating from c. AD 1650 - c. AD 1800.  A pipe tamper is used to flatten tobacco in a pipe to ensure that it burnt evenly and drew properly. Erotic decoration was popular in the 18th century.  This example takes the form of a female with the waist acting as the base of the tamper which is cylindrical in section. Below the naval the female genitalia are emphasised before dividing to form two legs which are bent at the knee. The feet are quite worn and rounded. They may be facing outwards, and are crossed with the right foot on top. The reverse of the object is convex in places to represent the bottom.  The object measures 58 mm in length and has a maximum width (at the knees) of 25 mm, the base has a 10mm diameter and the maximum thickness is 12mm whilst the legs are 7mm thick. It weighs 48.0g. Similar examples can be seen on the Portable Antiquities Scheme have been recorded on the database including WMID-B4C15E and LVPL-DFB073.  ",,Complete,,,"6""",58 mm x 25 mm x 12mm (maximum dimensions) 48.0g.,2020-02-01,,,,,,,/files/uploadedfiles/0600102.jpg,Intertidal,Cast,Copper alloy,Metric,Millimetres/grams,Pipe tamper,Certain,,,,,0600102,,Metal detector,,Accurate to 10km,GEOMETRYCOLLECTION (POINT (-2.143481 49.191854)),,,,Returned to Finder,
7a1b7270-19c2-0138-c5ae-740f24312a1c,Field Number,St. Mary,Parish,,,"Dimensions: 52mm x 19mm  Weight: 49.15g  A Medieval to Post-Medieval cast copper-alloy foor from a vessel such as a tripod cauldron, with three or four 'feet' below a transverse ridge. This foot has a rounded shape with a pointed 'toe' to the middle and a slimmer waisted 'ankle'. The foot has a dark grey patina with some light brown patches. The overall condition is fair. ",,,,,,,,,,,,,,,,Cast,Copper alloy,Metric,Millimetres/grams,Cauldron foot,,,,,,0800209,,Metal detector,,Accurate to 100 metres,GEOMETRYCOLLECTION (POINT (-2.156993 49.244401)),,,,,
e07f8916-07c0-11eb-8701-0275d4869ef4,,Grouville,Parish,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,"A silver/copper alloy ornate quillon or cross guard for an edged weapon. The motifs at the terminals could represent a wolf or dog head. The central decoration on the quillon has a curved linear design. It has a green/brown patina but recent scratches reveal bright silver. In another damaged area there is trace remains of gilding. Also, there is iron corrosion covering areas on the surface of the centre, top, bottom and one side presumably corrosion from the iron tang or blade which is clear in the centre where there is a dense amount of iron corrosion.   The quillon is likely to have been from a side-arm probably a hunting weapon or perhaps a dagger. The former being a consideration due to the wolf/dog head motifs at the terminals. Also, it may have belonged to a hunting hanger which although a larger weapon could often bear a comparatively small quillon. The date could be circa 17th/18th century due to the scroll form decoration however it could be earlier, circa 15th/16th century due its size.   It's dimensions are 60.0mm x 20.0mm x 10.01mm and weighs 32.37g. ",,Incomplete,Conserved,"Object immersed in deionised water and earth removed as far as possible with brushes and berberis thorns in a pin vice, all under the stereomicroscope.   The iron corrosion and stubborn concretion was removed with the vibrating tip engraver, always working within the corrosion layer and not touching the metal surface.",1/5 foot,63.0mm x 20.0 x 10.1mm 32.37g,2019-11-01,,,,,,,/files/uploadedfiles/0300379.jpg,Cultivated land,Cast,Copper alloy,Metric,Millimetres/grams,Dagger,Certain,,,,,0300379,,Metal detector,Silver,,GEOMETRYCOLLECTION (POINT (-2.0977 49.182973)),Findspot known as ‘Grouville’; location protected and marked as Jersey Archive.,,,,Gilded
b9d72ade-325e-11ec-8701-0275d4869ef4,Field Number,Trinity,Parish,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,"Société Jersiaise Finds Record Entry SJFR35 (2017) reads: A small, conical piece of bronze casting waste, with a light green patina. https://finds.org.uk/database/artefacts/record/id/844638 SJFR47",,Fragment,,,,"15mm x 19mm, 8.83g",2017-06-08,,,,,,,/files/uploadedfiles/1200333_-_bronze_casting_waste.JPG,Cultivated land,Cast,Copper alloy,Metric,Millimetres/grams,Casting waste,Probable,Trinity,,Trinity,,1200333,,Metal detector,,,,,,,,
fb8110a2-1f4b-11eb-8701-0275d4869ef4,,St. Lawrence,Parish,Neolithic 4000-2601 BCE,Bronze Age 2600-701 BCE,A transverse flint arrowhead with a grey patina. There is evidence of retouching on each side.   It's dimensions are: 27mm x 22mm x 5mm and it weighs 2.5g.,,Complete,Untreated,,,27mm x 22mm x 5mm 2.5g,2020-08-15,,,,,,,/files/uploadedfiles/0600261.jpg,Cultivated,Knapped/flaked,Flint,Metric,Millimetres/grams,Transverse arrowhead,Certain,,,,,0600261,,Chance find during metal detecting,,,GEOMETRYCOLLECTION (POINT (-2.0977 49.182973)),Findspot known as ‘St Lawrence’; location protected and marked as Jersey Archive.,,,Returned to Finder,
