ResourceID,Primary Reference Number,Name,Name Type,Artefact Description,Dimensions,Manufacture Method,Material,Adminstrative Subdivision Type,Archaeological Period From,Archaeological Period To,Discovery Date,Land Use,Recovery Method,Completeness,Subsequent Action
2b5adc89-c447-4418-874b-069e2d0a579f,0100523,Harness mount,Certain,"Incomplete cast copper alloy harness fitting of Medieval date (c. 1200-1400 AD).The mount is cruciform in plan, with three complete equally sized arms and one shorter incomplete arm. At the end of each complete arm is a hole and decorative knop. The incomplete arm was likely always shorter, with the remains of a small perforation surviving that would have suspended a now lost pendant. The front face of the object is bevelled with simple moulded decoration, and the back of the object is flat and undecorated. Such suspension mounts were presumably fitted where two straps met at right angles (Clark 1995, p.69). A similar excavated example is illustrated and discussed in Clark (1995, p.69).References:Clark, J. (1995), The Medieval Horse and Its Equipment: Medieval Finds from Excavation in London c.1150-c.1450, London; Museum of London.","Length: 51.15mm, Width: 39.80mm, Thickness: 4.91mm, Weight: 11.7g.",Cast,Copper alloy,St. Brelade,Medieval 934-1539 CE,Medieval 934-1539 CE,Post-2015,Cultivated land,Metal detector,Incomplete,
5bc826a7-5393-44da-b645-69540a1257c7,0100524,Coin,Certain,"A Medieval gold Ecu d'Or au Soleil of Francis I of France (1515-47).  5th type, 3rd issue (21 July 1519). Mint probably Lyon (partial clover mintmark). Crowned shield of France on the obverse and a triple stranded cross fleuretty on the reverse with an F in two of the angles.Obverse inscription: + FRANCISCVS DEI GRA: FRANCORVM REX.Reverse inscription: + XPS: VINCIT XPS. REGNAT. XPS: IMPERAT.Duplessey no.: 775.References:Duplessy (1999), Les monnaies françaises royales : de Hugues Capet à Louis XVI (987-1793), Maison Platt; Paris.","Diameter: 24mm, Weight: 2.7g.",Struck or hammered,Gold,St. Martin,Medieval 934-1539 CE,Medieval 934-1539 CE,19/03/2022,Intertidal,Metal detector,Incomplete,Returned to Finder
4f722846-cc26-4c15-8a6d-90e825666ca3,0100525,Finger ring,Certain,"A complete probably Post-Medieval gold finger-ring. The hoop of the ring consists of a flat golden backing soldered together, covered by filigree knotwork that runs the entire length of the band. The filigree consists of two sets of four golden cables, each made from two separate wires twisted together. The groups of cable are plaited, and appear to be soldered to the solid backing. Over the solder of the ring sites a rounded heart-shaped bezel, cut from a sheet of gold. The ring appears handmade in form. Filigree appears as a jewellery making technique from the Roman period to modern times. No precise parallel can be found for this example, though spirals of coiled wirework appear commonly in the 18-19th centuries. It is suggested that this finger-ring dates to the 18th-19th century, and may represent a piece of craft jewellery, though a potential earlier date cannot be ruled out. Notes:This object was recorded via photograph and through dimensions kindly supplied by the finder by email.    ","Diameter: 24.95mm, Weight: 3.6g",Hand made,Gold,St. Brelade,Medieval 934-1539 CE,Post Medieval 1540-1901 CE,20/03/2022,Intertidal,Metal detector,,Returned to Finder
7130c73e-85a1-4bce-b672-0ac0edec6b1d,0100526,Finger ring,Certain,"Complete cast golden ring of probable Post-Medieval date.  The ring bears a concavo-convex sexfoil rounded rectangular bezel, upon which is hand stamped various forms of decoration. A complete bevelled hoop, undulating from triangular  to flat in section, connects at each side of the bezel flanked by two rough crescent shapes. The bezel is incised with a number of curving irregular lines, organised horizontally in various groups to split the face at various intervals. One group of three incised lines decorate one edge of the bezel, whilst pairs of two incised lines make up three of the decorative divisions. The centre of the ring bears only one incised line, that continues for a short portion of the hoop on each side.   At each top edge of the bezel, above the first dividing lines and within each foil, are hand-stamped sun-shapes. One sun shape sits within each foil, totalling three on each edge. The next division on each edge bears more sun shapes from the same stamp, organised irregularly, and follow the curving of the incised lines. One division bears eight sun-shapes and the other bears nine. The centre of the bezel, at each side of the single dividing incised lines, is marked by irregularly stamped cross or ""x-shapes"", one side with seven and one side with eight.  At each end of the stamped cross motifs, sit five stamped sun-shapes that continue slightly around the band of the ring. The object appears to have been stamped after the incised lines were made.The band of the ring is bevelled, undulating at regular intervals to a lozenge-shaped flat surface, upon which is stamped with a sun shape. The bezel is not typical of Roman or Late Medieval to Post-Medieval signet rings, as it is convex and bears no heraldic or iconographic design. The large irregular bezel and bevelled band suggests a date between the Medieval to Post-Medieval period, c. AD 1500-1800.Notes:This object was recorded via photograph and through dimensions kindly supplied by the finder by email.    ","Diameter: 22mm, Weight: 2.46g.",Cast,Gold,St. Brelade,Medieval 934-1539 CE,Post Medieval 1540-1901 CE,02/04/2022,Intertidal,Metal detector,Complete,Returned to Finder
d3a3430c-266a-484b-8aed-c5781907bdb1,0100527,Coin,Certain,"Extremely worn copper alloy Roman sestertius coin, dating 1st-3rd century AD. The outline of a deeply struck bust exists on the obverse, possibly with long hair tied up in a bun. A faint struck figure can be seen on the reverse, though no identifiable details remain.If a bun hairstyle exists on the bust, it may suggest a coin of the Antonine dynasty (AD 138-AD 161).The surface is abraded by sand and almost entirely stripped of patina.","Diameter: 32.16mm, Thickness: 3.24mm, Weight: 17.4g.",Struck or hammered,Copper alloy,St. Brelade,Gallo-Roman 51 BCE-451 CE,Gallo-Roman 51 BCE-451 CE,10/05/2022,Cultivated land,Metal detector,Incomplete,
5790eae1-922c-4760-af07-0f48d95bbe91,0100528,Coin,Certain,"Extremely worn Medieval to Post-Medieval hammered silver coin,possibly a 1/2 Patard of the Low Countries or France,  dating from the 15th-17th century. The obverse of the coin bears an unclear motif that resembles an ""R"", surrounded by a pelleted border and unclear legend. The reverse of the coin bears a small unclear symbol within a cross fleuretty. The legend is illegible and almost entirely removed by wear.This coin is difficult to identify as much of the diagnostic features are missing. It is suggested that this is a 15th-17th century 1/2 Patard of the low countries or France.  ","Diameter: 18mm, Weight: 0.4g ",Struck or hammered,Silver,St. Brelade,Medieval 934-1539 CE,Post Medieval 1540-1901 CE,02/08/2022,Cultivated land,Metal detector,Incomplete,
65729f4a-b702-4e47-9692-f8e5791016b2,0200228,Flint implement,Certain,"Dark grey flint scraper. A thick leaf-shaped flake with broad flakes struck from its dorsal side and with a slightly concave ventral surface with a bulb at one end. Short abrupt retouch executed from the dorsal side. Small remains of white cortex exist on one edge, above and round the bulb of percussion. Suggested date: Early Bronze Age, 2350-1600 BC.","Length: 31.11mm, Width: 22.21, Thickness: 7.11, Weight: 4.5g.",Knapped/flaked,Flint,St. Clement,Neolithic 4000-2601 BCE,Bronze Age 2600-701 BCE,,Cultivated land,Other chance find,Complete,
09fdd870-b47b-4433-b743-93641bcab975,0200230,Coin,Certain,A complete extremely worn copper alloy French Liard of Louis XIV 'The Sun King' (1643-1715) possibly dating to 1655-1710. ,"Diameter: 21.7mm, 2.4g",Struck or hammered,Copper alloy,St. Mary,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,01/01/2022,Cultivated land,Other chance find,Incomplete,Returned to Finder
b6fe1b63-46bd-48c2-ae16-6086053c6ca2,0200231,Coin,Certain,"An incomplete and worn silver 1/4 Ecu (2nd type) of Henri IV of France (1589-1610), dating to c. 1590-1610. Mint uncertain.Obverse: Very worn cross Fleury  Lettering: [HENRICVS.II]II.D.G.FRANC.ET.NAVA.[REX (année)]Reverse:Crowned shield of France (three fleur-de-lis within a round-bottomed, flat-topped shield), with probably ""H"" at each side.Lettering: [SIT.]NOMIN.DOMINI.BENEDICTUM","Diameter: 26.5mm, Thickness: c.3mm, Weight: 8.7g",Struck or hammered,Silver,St. Clement,Post Medieval 1540-1901 CE,Post Medieval 1540-1901 CE,01/12/2021,Cultivated land,Metal detector,Incomplete,Returned to Finder
27f73991-94fb-4ac9-9c89-21f4dafe5a33,0200232,Sword blade,Certain,"A fragment of a copper alloy sword blade of Late Bronze Age date (c.1600–750 BCE).A short section of blade survives with a broad, convex-surfaced mid-rib on either face, flanked by a pair of vertical grooves. Either side of the mid-rib the bladed thickness gradually tapers towards each cutting edge. Both cutting edges are worn and incomplete and the breaks are worn and abraded. This fragment was likely towards the tip of the blade based on its size and taper.","Length: 25.81mm, Width: 18.67mm, Thickness: 6.30mm, Weight: 10.9g",Cast,Copper alloy,St. Clement,Bronze Age 2600-701 BCE,Bronze Age 2600-701 BCE,01/01/2022,Cultivated land,Metal detector,Fragment,Returned to Finder
f68eb0a8-2f61-45a3-8bb9-0eb07c1d6e94,0200234,Ingot,Possibly,"SJFR194 (28/02/2019) reads:194a: Short length of parallel-sided bar ingot with traces of gammering on smooth sides to form bar Ends badle battered, but one is certainly broken, not hciseled or sawn. A dull greenish-grey with black surface corrosion partly battered away by cultivator scarring. 194b: Short fragment of tapered bar ingot terminal with clearly hammered surfaces. Sides slightly convex over length. A dull grey with hints of green corrosion, polished on high points, revealing golden-brown bronze colour. Wide end is broken, narrow end has three chips, suggesting it has been struck directly on its terminal at least once.Hammered bar ingots like these are fairly common in Jersey and have been found on sites dated by other evidence to the later Iron Age, c.300-0 BCE. Terminal fragments are less common than body fragments, and most display signs of having been deliberately cut into short lengths, perhaps as proto-currency.","194a: Length: 21mm, diameter: 10.5-11.3mm.194b: Length: 18mm, 7.8-9mm diameter, tapering to c.7mm diameter.",Cast,Copper alloy,St. Clement,Iron Age 700-51 BCE,Post Medieval 1540-1901 CE,28/02/2019,Cultivated land,Metal detector,Fragment,
509897ce-f682-4a60-ba32-ed0e7030f822,0200236,Coin,Certain,"SJFR192 states:Copper alloy Roman barbarous radiate coin, dated AD 253-268.Small dull greenish-grey coin in poor condition, worn and pitted, with clear cut on edge caused by clipping.Obverse: Rounded head facing right, with prominent chin, nose and brow, three of four spikes of radiate crown visible. Taces of lettering over to, but none legible. Reverse: standing stork with long beak pointing downwards, offset to left and facing right. No visible lettering.","Diameter: 15.5mm, Thickness: 1.8mm, Weight: 2.18g.",Struck or hammered,Copper alloy,St. Clement,Gallo-Roman 51 BCE-451 CE,Gallo-Roman 51 BCE-451 CE,28.02.2022,Cultivated land,Metal detector,Incomplete,
a369d459-6d38-42e1-be53-cc0e609aeb89,0200237,Chopper,Possibly,"Flint chopper, sub-oval in plan with ridges that suggest retouch or use. It isn't a core because there are no platforms and the ridges suggest that it may have been used as a chopper. It is grey-white flint with pale mottles. The cortex is white, and is a beach pebble.","Length: 132.5mm, Width: 94.8mm, Thickness: 55mm, 866.4g",Struck or hammered,Flint,St. Clement,Palaeolithic 500000-10001 BCE,Palaeolithic 500000-10001 BCE,04/05/2018,Intertidal,Other chance find,Complete,
016acef1-cb6f-4621-9794-3847aa678346,0200238,Figurine,Certain,"Incomplete cast bronze figurine of Iron Age date, with upper half and legs found separately. This object is identified and discussed in Martin Henig and Mark Wood (1990), who describe the object as following:""The upper part of a cast bronze of a nude male figure (Plate l), which X-ray fluorescence analysis has shown to have been made of a leaded tin bronze alloy. It is covered with a green patination, and has suffered more seriously from corrosion in places. The figure is broken away at the waist, immediately below the navel, the shallow boring of which may have provided a point of weakness. The body is of slight build and reasonably well modelled at least on the front, but the back is rough. The right arm is bent at the elbow but as the hand is missing there is no indication of any attribute. The navel and nipples are indicated by shallow borings (the nipple on the left of the body having been lost through corrosion). In relation to the body, the pear-shaped head is massive. It is turned to the left (i.e. the viewer’s right). The physiognomy is dominated by large eyes with heavy brows, the pupil of the right eye is bored and the slit mouth is emphasised by heavy lips. As far as can be seen, the nose is flat and triangular, but wear and corrosion have made detail indistinct. Ears are barely indicated by depressions at the sides of the head. The crown is flattened and slopes backwards. The surface here is badly corroded. Dimensions: Surviving height 38 mm; greatest width 28 mm; depth of body 6 mm; depth of head (from the chin to the crown of the head) 12 mm. While the tradition of naturalistic bronzecasting is a Mediterranean one, which only becomes widespread in north-westem Europe with the coming of the Roman Empire, this bronze is in no way related to Roman bronzes of the Imperial period, although it is not unlike some clearly native figurines made in the North of Italy from the fourth to the second century BC (Franzoni 1980, 121-158, nos 100-137). It seems that these were imported across the Alps and up the RhBne valley and copied in Gaul (Boucher 1976, 13-43); especially close is the figure from Pointe du Raz in Western Brittany (ibid. 35, fig. 35). The prototype was probably an Italic Hercules (Franzoni, op. cit.), but it is not known what such a bronze might have symbolised in Gaul. It is worth mentioning that early bronzes are known from Britain. Actual Italic bronzes are recorded from Mount Batten, Plymouth (Cunliffe 1988, 70-72, nos 128, 129). Two very fine female figurines of Iron Age date come from Aust-by-Severn (Cunliffe 1978, 155, and plate 22b, but not Iberian as stated); and from Henley Wood (Wilson 1970,296 and plate XXXVd) . Male figures are recorded from Dartmoor (Christie’s Antiquities Sale Catalogue, 16 December 1982,8, lot 24), and from Maiden Castle (in the Dorset County Museum, Dorchester) . All of these bronzes are from sites in south-western Britain."". Post-publication, the legs of this figurine were found, and the figurine now resides in the Jersey Heritage collection.References: Henig, M. and Wood, M. (1990). A cast bronze figure of Iron Age date from the Channel Island of Jersey. Oxford J Archaeol 9. Vol 9, pp. 237-240.",Surviving height 38 mm; greatest width 28 mm; depth of body 6 mm; depth of head (from the chin to the crown of the head) 12 mm.,Cast,Copper alloy,St. Clement,Iron Age 700-51 BCE,Iron Age 700-51 BCE,1990,Cultivated land,Metal detector,Incomplete,Donated to JHT
4270bfdf-fcbe-4000-badc-94dbfe1b7dca,0200239,Casting waste,Certain,Five pieces of amorphous casting waste of Bronze Age to Post Medieval date. ,,Cast,Copper alloy,St. Clement,Bronze Age 2600-701 BCE,Post Medieval 1540-1901 CE,Post-2015,Cultivated land,Metal detector,Fragment,
