ResourceID,Administrative Subdivision Type,External Identifier Type,End Date of Existence,Place Description,End Date Type,Description Type,Place Address,Activity Type,Spatial Coordinates Geometry,Address Type,Keyword,Name Type,Administrative Subdivision Name,Description,To Date,Start Date Type,Name,Primary Reference Number,From Date,Geometry Qualifier,Start Date of Existence,External Source,External XRef,Cadastral Reference
5055f180-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Action Post Schmugglerdorf, Le Mont du Ouaisné",,GEOMETRYCOLLECTION (POINT (-2.184854 49.176463)),Postal Address,German Occupation,,St. Brelade,,,,Site of Action Post Schmugglerdorf,100108, ,,,,,
5055fb80-116c-0138-914f-740f24312a1c,Parish,,,,,,"L'Harmonie, La Route du Petit Port",,GEOMETRYCOLLECTION (POINT (-2.219367 49.18477)),Postal Address,Richmond Map,,St. Brelade,,,,L'Harmonie,100109, ,,,,,
50561250-116c-0138-914f-740f24312a1c,Parish,,,,,,"La Moye View, La Rue de la Sergenté",,GEOMETRYCOLLECTION (POINT (-2.22151 49.186073)),Postal Address,,,St. Brelade,,,,La Moye View,100111, ,,,,,
50564770-116c-0138-914f-740f24312a1c,Parish,,,,,,"Action Post La Haule, La Neuve Route",,GEOMETRYCOLLECTION (POINT (-2.166753 49.192195)),Postal Address,German Occupation,,St. Brelade,,,,Action Post La Haule,100116, ,,,,,
50566420-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Portelet Battery, La Rue Voisin",,GEOMETRYCOLLECTION (POINT (-2.17892 49.172995)),Postal Address,Coastal Fortification,,St. Brelade,,,,Site of Portelet Battery,100119, ,,,,,
50567010-116c-0138-914f-740f24312a1c,Parish,,,,,,"Low-level raised beach, Portelet Bay",,GEOMETRYCOLLECTION (POINT (-2.178643 49.171978)),Intertidal,Palaeolithic,,St. Brelade,,,,Low-level raised beach,100120, ,,,,,
50568be0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Janvrin's Farm, La Route de Noirmont",,GEOMETRYCOLLECTION (POINT (-2.175128 49.17304)),Postal Address,Richmond Map,,St. Brelade,,,,Site of Janvrin's Farm,100122, ,,,,,
5056cf80-116c-0138-914f-740f24312a1c,Parish,,,,,,"Possible site of Priory of St Michel du Mont Gargane, La Route de Noirmont",,GEOMETRYCOLLECTION (POINT (-2.173492 49.172998)),Postal Address,,,St. Brelade,,,,Possible site of Priory of St Michel du Mont Gargane,100126, ,,,,,
50578c50-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of La Maison de Martel, La Rue du Crocquet",,GEOMETRYCOLLECTION (POINT (-2.169716 49.189902)),Postal Address,Richmond Map,,St. Brelade,,,,Site of La Maison de Martel,100142, ,,,,,
505795e0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Laurel House, La Rue du Crocquet",,GEOMETRYCOLLECTION (POINT (-2.170952 49.188719)),Postal Address,Richmond Map,,St. Brelade,,,,Laurel House,100143, ,,,,,
5057a9a0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Batterie Seydilitz, Le Mont du Coin",,GEOMETRYCOLLECTION (POINT (-2.170942 49.195618)),Postal Address,German Occupation,,St. Brelade,,,,Site of Batterie Seydilitz,100145, ,,,,,
50585040-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of La Tour du Sud, La Route de la Pulente",,GEOMETRYCOLLECTION (POINT (-2.225515 49.197823)),Postal Address,"Richmond Map,Coastal Fortification",,St. Brelade,,,,Site of La Tour du Sud,100158, ,,,,,
50618d90-116c-0138-914f-740f24312a1c,Parish,,,,,,"Pont Marquet Farm, La Rue du Pont Marquet",,GEOMETRYCOLLECTION (POINT (-2.18821 49.19321)),Postal Address,Richmond Map,,St. Brelade,,,,Pont Marquet Farm,100162, ,,,,,
50588650-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Belle Croute Battery, Le Chemin de Belcroute",,GEOMETRYCOLLECTION (POINT (-2.168962 49.18057)),Postal Address,Coastal Fortification,,St. Brelade,,,,Site of Belle Croute Battery,100163, ,,,,,
505893b0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Vau Varin Battery, Le Chemin de Belcroute",,GEOMETRYCOLLECTION (POINT (-2.168931 49.181543)),Postal Address,Coastal Fortification,,St. Brelade,,,,Site of Vau Varin Battery,100164, ,,,,,
505957a0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Low-level raised beach, Le Chemin de Belcroute",,GEOMETRYCOLLECTION (POINT (-2.169783 49.178748)),Postal Address,Palaeolithic,,St. Brelade,,,,Low-level raised beach,100181, ,,,,,
50596190-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Noirmont Signal Post, La Rue de Haut",,GEOMETRYCOLLECTION (POINT (-2.173387 49.181079)),Postal Address,Coastal Fortification,,St. Brelade,,,,Site of Noirmont Signal Post,100182, ,,,,,
50596a70-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Beauport Watch House, Beauport",,GEOMETRYCOLLECTION (POINT (-2.208991 49.181051)),Postal Address,"Richmond Map,Coastal Fortification",,St. Brelade,,,,Site of Beauport Watch House,100183, ,,,,,
5059d520-116c-0138-914f-740f24312a1c,Parish,Listed place,,,,,"Site of Prisoners of War Camp, Le Chemin des Basses Mielles",,GEOMETRYCOLLECTION (POINT (-2.220433 49.199454)),Postal Address,,,St. Brelade,,,,Site of Prisoners of War Camp,100193,,,,Government of Jersey,BR0228,
5059fda0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Mound, La Rue de la Sergenté",,GEOMETRYCOLLECTION (POINT (-2.22588 49.186349)),Postal Address,,,St. Brelade,,,,Site of Mound,100197, ,,,,,
505a0520-116c-0138-914f-740f24312a1c,Parish,,,,,,"Raised Beach, La Rue de la Corbière",,GEOMETRYCOLLECTION (POINT (-2.235626 49.179371)),Postal Address,Palaeolithic,,St. Brelade,,,,Raised Beach,100198, ,,,,,
505a0e70-116c-0138-914f-740f24312a1c,Parish,,,,,,"La Moye Quarry, La Rue de la Corbière",,GEOMETRYCOLLECTION (POINT (-2.233137 49.179296)),Postal Address,,,St. Brelade,,,,La Moye Quarry,100199, ,,,,,
505a1950-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of first Corbiere Railway Station, La Rue de la Corbière",,GEOMETRYCOLLECTION (POINT (-2.230338 49.180491)),Postal Address,Railway,,St. Brelade,,,,Site of first Corbiere Railway Station,100200, ,,,,,
505a2360-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of La Moye Railway Station, La Rue de la Sergenté",,GEOMETRYCOLLECTION (POINT (-2.220456 49.186319)),Postal Address,Railway,,St. Brelade,,,,Site of La Moye Railway Station,100201, ,,,,,
505a2d50-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Blanches Banques Railway Station, Railway Walk",,GEOMETRYCOLLECTION (POINT (-2.215614 49.189837)),Postal Address,Railway,,St. Brelade,,,,Site of Blanches Banques Railway Station,100202, ,,,,,
505a3730-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Don Bridge Railway Station, Railway Walk",,GEOMETRYCOLLECTION (POINT (-2.198133 49.193977)),Postal Address,Railway,,St. Brelade,,,,Site of Don Bridge Railway Station,100203, ,,,,,
505a4090-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Pont Marquet Railway Station, La Rue du Pont Marquet",,GEOMETRYCOLLECTION (POINT (-2.189159 49.193455)),Postal Address,Railway,,St. Brelade,,,,Site of Pont Marquet Railway Station,100204, ,,,,,
505a4910-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Le Moulin Gras Dos, Le Mont Gras d'Eau",,GEOMETRYCOLLECTION (POINT (-2.191552 49.1869)),Postal Address,Mill,,St. Brelade,,,,Site of Le Moulin Gras Dos,100205, ,,,,,
505a5630-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Le Moulin du Grand Saut, La Marquanderie",,GEOMETRYCOLLECTION (POINT (-2.203339 49.185307)),Postal Address,Mill,,St. Brelade,,,,Site of Le Moulin du Grand Saut,100206, ,,,,,
505a60d0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Clarke Shipbuilding Yard, Le Mont du Boulevard",,GEOMETRYCOLLECTION (POINT (-2.169031 49.184508)),Postal Address,,,St. Brelade,,,,Site of Clarke Shipbuilding Yard,100208, ,,,,,
505a69b0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Allen Shipbuilding Yard, La Neuve Route",,GEOMETRYCOLLECTION (POINT (-2.168159 49.190847)),Postal Address,,,St. Brelade,,,,Site of Allen Shipbuilding Yard,100209, ,,,,,
505a7280-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Beaumont Halt, La Route de la Haule",,GEOMETRYCOLLECTION (POINT (-2.161141 49.195071)),Postal Address,Railway,,St. Brelade,,,,Site of Beaumont Halt,100210, ,,,,,
505ab1f0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Possible site of Priory of St Michel du Mont Gargane, Valley Road",,GEOMETRYCOLLECTION (POINT (-2.179458 49.180254)),Postal Address,,,St. Brelade,,,,Possible site of Priory of St Michel du Mont Gargane,100216, ,,,,,
505ac570-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Greenville Railway Station, Le Mont Nicolle",,GEOMETRYCOLLECTION (POINT (-2.185337 49.189787)),Postal Address,Railway,,St. Brelade,,,,Site of Greenville Railway Station,100218, ,,,,,
505b2f80-116c-0138-914f-740f24312a1c,Parish,Listed place,,,,,"Les Blanches Banques Prehistoric Landscape, Les Mielles ",,GEOMETRYCOLLECTION (POINT (-2.215799 49.197501)),Postal Address,,,St. Brelade,,,,Les Blanches Banques Prehistoric Landscape,100228,,,,Government of Jersey,BR0228,
505b5fa0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Field House, La Route du Sud",,GEOMETRYCOLLECTION (POINT (-2.220841 49.181396)),Postal Address,Richmond Map,,St. Brelade,,,,Field House,100232, ,,,,,
5063a940-116c-0138-914f-740f24312a1c,Parish,,,,,,La Rocco Stones,,GEOMETRYCOLLECTION (POINT (-2.23176 49.197179)),Intertidal,Megalithic,,St. Brelade,,,,La Rocco Stones,100233, ,,,,,
505b72c0-116c-0138-914f-740f24312a1c,Parish,Listed place,,,,,"La Pulente Menhir, Le Mont de la Pulente",,GEOMETRYCOLLECTION (POINT (-2.223442 49.188638)),Postal Address,Megalithic,,St. Brelade,,,,La Pulente Menhir,100235,,,,Government of Jersey,BR0235,
505b8f80-116c-0138-914f-740f24312a1c,Parish,,,,,,"La Remise, Le Mont les Vaux",,GEOMETRYCOLLECTION (POINT (-2.173771 49.187957)),Postal Address,Richmond Map,,St. Brelade,,,,La Remise,100238, ,,,,,
505b9a00-116c-0138-914f-740f24312a1c,Parish,,,,,,"Les Ruisseaux House, Valley Road",,GEOMETRYCOLLECTION (POINT (-2.179347 49.182148)),Postal Address,Richmond Map,,St. Brelade,,,,Les Ruisseaux House,100239, ,,,,,
505ba350-116c-0138-914f-740f24312a1c,Parish,,,,,,"Wesley Cottage, Le Quai Bisson",,GEOMETRYCOLLECTION (POINT (-2.170564 49.186445)),Postal Address,,,St. Brelade,,,,Wesley Cottage,100240, ,,,,,
505bb6e0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Royal Channel Islands Yacht Club, Le Mont du Boulevard",,GEOMETRYCOLLECTION (POINT (-2.168636 49.18501)),Postal Address,,,St. Brelade,,,,Royal Channel Islands Yacht Club,100242, ,,,,,
505bd540-116c-0138-914f-740f24312a1c,Parish,,,,,,"La Maison Simon, Le Chemin des Bruleries",,GEOMETRYCOLLECTION (POINT (-2.189941 49.19647)),Postal Address,Richmond Map,,St. Brelade,,,,La Maison Simon,100245, ,,,,,
505bffa0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Resistance Nest Portelet Bay, Portelet Bay",,GEOMETRYCOLLECTION (POINT (-2.181764 49.171971)),Postal Address,German Occupation,,St. Brelade,,,,Site of Resistance Nest Portelet Bay,100249, ,,,,,
505c0820-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Resistance Nest Brelades, La Route de Noirmont",,GEOMETRYCOLLECTION (POINT (-2.177438 49.181243)),Postal Address,German Occupation,,St. Brelade,,,,Site of Resistance Nest Brelades,100250, ,,,,,
505c13c0-116c-0138-914f-740f24312a1c,Parish,Listed place,,,,,"La Hougue de Vinde, Le Chemin de Noirmont",,GEOMETRYCOLLECTION (POINT (-2.166914 49.173293)),Postal Address,Megalithic,,St. Brelade,,,,La Hougue de Vinde,100251,,,,Government of Jersey,BR0251,
505c1bd0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Sandpipers, Le Boulevard",,GEOMETRYCOLLECTION (POINT (-2.16913 49.185505)),Postal Address,Richmond Map,,St. Brelade,,,,Sandpipers,100252, ,,,,,
5063b1c0-116c-0138-914f-740f24312a1c,Parish,,,,,Archaeological Excavation,"La Hougue Couvee, Field B509",Archaeological Excavation,GEOMETRYCOLLECTION (POINT (-2.215935 49.183183)),Field Number,,,St. Brelade,The Société Jersiaise opened 6 trenchesin field B509 as part of an archaeological excavation. No finds were uncovered. ,21/07/1969,,La Hougue Couvee,100253,21/07/1969,,,,,
505c3590-116c-0138-914f-740f24312a1c,Parish,Listed place,,,,,"La Cotte de St Brelade, Ouaisne Bay",,GEOMETRYCOLLECTION (POINT (-2.187785 49.175516)),Postal Address,Palaeolithic,,St. Brelade,,,,La Cotte de St Brelade,100255,,,,Government of Jersey,BR0255,
505c5390-116c-0138-914f-740f24312a1c,Parish,,,,,,"Springvale House, Le Chemin des Pietons",,GEOMETRYCOLLECTION (POINT (-2.177634 49.187629)),Postal Address,Richmond Map,,St. Brelade,,,,Springvale House,100258, ,,,,,
50587d20-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Le Grouin Battery, Ouaisne Bay",,GEOMETRYCOLLECTION (POINT (-2.189316 49.182105)),Postal Address,"Coastal Fortification,Richmond Map",,St. Brelade,,,,Site of Le Grouin Battery,100260, ,,,,,
5063baf0-116c-0138-914f-740f24312a1c,Parish,,,,,Archaeological Excavation,Pottery Assemblage,Archaeological Excavation,GEOMETRYCOLLECTION (POINT (-2.230941 49.18442)),,,,St. Brelade,The Société Jersiaise opened an exploratory trench to investigate the site where mid-14th century pottery was discovered. ,,,Pottery Assemblage,100267, ,,,,,
505cacc0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Batterie Hindenburg, Ammunition Bunker, La Petite Ruette",,GEOMETRYCOLLECTION (POINT (-2.211747 49.18978)),Postal Address,German Occupation,,St. Brelade,,,,"Batterie Hindenburg, Ammunition Bunker",100269, ,,,,,
5061b510-116c-0138-914f-740f24312a1c,Parish,Listed place,,,,,The Little Menhir,,GEOMETRYCOLLECTION (POINT (-2.217466 49.197487)),,Megalithic,,St. Brelade,,,,The Little Menhir,100277,,,,Government of Jersey,BR0228,
505d1530-116c-0138-914f-740f24312a1c,Parish,Listed place,,,,,"Beauport Dolmen, Field B574",,GEOMETRYCOLLECTION (POINT (-2.214068 49.179279)),Postal Address,Megalithic,,St. Brelade,,,,Beauport Dolmen,100280,,,,Government of Jersey,BR0280,
505d3670-116c-0138-914f-740f24312a1c,Parish,,,,,,"Harley House, Le Boulevard",,GEOMETRYCOLLECTION (POINT (-2.170311 49.18677)),Postal Address,,,St. Brelade,,,,Harley House,100283, ,,,,,
505d4a50-116c-0138-914f-740f24312a1c,Parish,,,,,,"Rose Cottage, Le Boulevard",,GEOMETRYCOLLECTION (POINT (-2.169165 49.185638)),Postal Address,Richmond Map,,St. Brelade,,,,Rose Cottage,100285, ,,,,,
5061be00-116c-0138-914f-740f24312a1c,Parish,Listed place,,,,,The Great Menhir,,GEOMETRYCOLLECTION (POINT (-2.216841 49.194351)),,Megalithic,,St. Brelade,,,,The Great Menhir,100311,,,,Government of Jersey,BR0228,
505eabf0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Cardington Lodge, Le Mont du Boulevard",,GEOMETRYCOLLECTION (POINT (-2.169961 49.184796)),Postal Address,,,St. Brelade,,,,Cardington Lodge,100320, ,,,,,
5061c810-116c-0138-914f-740f24312a1c,Parish,Listed place,,,,,La Tête des Quennevais ,,GEOMETRYCOLLECTION (POINT (-2.211876 49.196493)),,Megalithic,,St. Brelade,,,,La Tête des Quennevais ,100328,,,,Government of Jersey,BR0228,
5061dbf0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of L'Anciennete, Field B490",,GEOMETRYCOLLECTION (POINT (-2.223421 49.180253)),Field Number,Richmond Map,,St. Brelade,,,,Site of L'Anciennete,100331, ,,,,,
5061e4f0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of La Chapelle de Ste Barbe, Field B490",,GEOMETRYCOLLECTION (POINT (-2.223455 49.180438)),Field Number,Place of Worship,,St. Brelade,,,,Site of La Chapelle de Ste Barbe,100340, ,,,,,
5061eef0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Les Ormes, La Rue Carrée",,GEOMETRYCOLLECTION (POINT (-2.200896 49.20164)),Postal Address,Richmond Map,,St. Brelade,,,,Les Ormes,100349, ,,,,,
5061f880-116c-0138-914f-740f24312a1c,Parish,,,,,,"Bay Cottage, La Route de la Baie",,GEOMETRYCOLLECTION (POINT (-2.20002 49.185926)),Postal Address,Richmond Map,,St. Brelade,,,,Bay Cottage,100354, ,,,,,
50620180-116c-0138-914f-740f24312a1c,Parish,,,,,,"Datestones '1588' & '1611', Le Mont Boulevard",,GEOMETRYCOLLECTION (POINT (-2.168885 49.184803)),Postal Address,,,St. Brelade,,,,Datestones '1588' & '1611',100359, ,,,,,
50618380-116c-0138-914f-740f24312a1c,Parish,,,,,,"Site of Forest Hill Megalithic Structure, Field B921",,GEOMETRYCOLLECTION (POINT (-2.167279 49.196484)),Field Number,Megalithic,,St. Brelade,,,,Site of Forest Hill Megalithic Structure,100366, ,,,,,
506197a0-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,La Moye Golf Club ,,GEOMETRYCOLLECTION (POINT (-2.216498 49.191492)),,Megalithic,,St. Brelade,,,,La Moye Golf Club ,100370,,,,Government of Jersey,BR0370,
50621460-116c-0138-914f-740f24312a1c,Parish,,,,,,"Hotel La Place, La Route de l'Isle",,GEOMETRYCOLLECTION (POINT (-2.1765 49.196129)),Postal Address,Richmond Map,,St. Brelade,,,,Hotel La Place,100374, ,,,,,
50607b30-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"La Marquanderie Hoard, Park Estate",,GEOMETRYCOLLECTION (POINT (-2.199578 49.187514)),Postal Address,,,St. Brelade,,,,La Marquanderie Hoard,100375,,,,Government of Jersey,BR0375,
50608460-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"Bronze Age Hoard, Fields B561A, B562B",,GEOMETRYCOLLECTION (POINT (-2.220404 49.176348)),Field Number,,,St. Brelade,,,,Bronze Age Hoard,100376,,,,Government of Jersey,BR0376,
50608e70-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"Site of Le Quesnil Menhir, Field B459",,GEOMETRYCOLLECTION (POINT (-2.228846 49.180478)),Field Number,Megalithic,,St. Brelade,,,,Site of Le Quesnil Menhir,100377,,,,Government of Jersey,BR0377,
50609710-116c-0138-914f-740f24312a1c,Parish,,,,,,"Champ de la Hougue, Field B443",,GEOMETRYCOLLECTION (POINT (-2.228733 49.182816)),Field Number,,,St. Brelade,,,,Champ de la Hougue,100378, ,,,,,
50609fc0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Lande de la Hougue, Field B443A/B",,GEOMETRYCOLLECTION (POINT (-2.230141 49.182764)),Field Number,,,St. Brelade,,,,Lande de la Hougue,100379, ,,,,,
5060a890-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"La Hougue, Le Mont du Petit Port",,GEOMETRYCOLLECTION (POINT (-2.231477 49.183427)),Postal Address,,,St. Brelade,,,,La Hougue,100380,,,,Government of Jersey,BR0380,
5060b230-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"Site of Rude Altar, Field B390",,GEOMETRYCOLLECTION (POINT (-2.226193 49.181083)),Field Number,Megalithic,,St. Brelade,,,,Site of Rude Altar,100381,,,,Government of Jersey,BR0381,
5060bb60-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"Le Foin-Bas Mound, La Route Orange",,GEOMETRYCOLLECTION (POINT (-2.20707 49.188459)),Postal Address,,,St. Brelade,,,,Le Foin-Bas Mound,100382,,,,Government of Jersey,BR0382,
5060c420-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"La Hougue Marais , La Route du Sud",,GEOMETRYCOLLECTION (POINT (-2.220573 49.182987)),Postal Address,,,St. Brelade,,,,La Hougue Marais ,100383,,,,Government of Jersey,BR0383,
5060cd20-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"Site of Mound, Le Chemin des Signaux",,GEOMETRYCOLLECTION (POINT (-2.222198 49.177735)),Postal Address,,,St. Brelade,,,,Site of Mound,100384,,,,Government of Jersey,BR0384,
50621d80-116c-0138-914f-740f24312a1c,Parish,,,,,,"House at Petit Port, La Route du Petit Port",,GEOMETRYCOLLECTION (POINT (-2.223593 49.183873)),Postal Address,,,St. Brelade,,,,House at Petit Port,100385, ,,,,,
506231a0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Communicare Centre, Clos de Carrel",,GEOMETRYCOLLECTION (POINT (-2.199121 49.194967)),Postal Address,Place of Worship,,St. Brelade,,,,Communicare Centre,100386, ,,,,,
5060d6a0-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"Site of possible earthwork, Field B664. B665. B669",,GEOMETRYCOLLECTION (POINT (-2.17721 49.175312)),Field Number,,,St. Brelade,,,,Site of possible earthwork,100387,,,,Government of Jersey,BR0387,
5060e090-116c-0138-914f-740f24312a1c,Parish,Area of Archaeological Potential,,,,,"Champ de la Houguette, Field B698",,GEOMETRYCOLLECTION (POINT (-2.173655 49.179725)),Field Number,,,St. Brelade,,,,Champ de la Houguette,100388,,,,Government of Jersey,BR0388,
50623b40-116c-0138-914f-740f24312a1c,Parish,,,,,,"Les Quennevais Evangelical Church, Clos de Carrel",,GEOMETRYCOLLECTION (POINT (-2.199782 49.194456)),Postal Address,Place of Worship,,St. Brelade,,,,Les Quennevais Evangelical Church,100395, ,,,,,
506227b0-116c-0138-914f-740f24312a1c,Parish,,,,,,"St Bernadette's Church, Clos de Carrel",,GEOMETRYCOLLECTION (POINT (-2.200322 49.194997)),Postal Address,Place of Worship,,St. Brelade,,,,St Bernadette's Church,100396, ,,,,,
506244a0-116c-0138-914f-740f24312a1c,Parish,,,,,,"New Kingdom Hall, La Rue de la Corbière",,GEOMETRYCOLLECTION (POINT (-2.230446 49.179506)),Postal Address,,,St. Brelade,,,,New Kingdom Hall,100403, ,,,,,
50624e80-116c-0138-914f-740f24312a1c,Parish,,,,,,"The Synagogue, La Petite Route des Mielles",,GEOMETRYCOLLECTION (POINT (-2.193745 49.189299)),Postal Address,Place of Worship,,St. Brelade,,,,The Synagogue,100406, ,,,,,
50625730-116c-0138-914f-740f24312a1c,Parish,,,,,,"Datestone '1684', Le Mont Les Vaux",,GEOMETRYCOLLECTION (POINT (-2.175402 49.188593)),Postal Address,,,St. Brelade,,,,Datestone '1684',100407, ,,,,,
506260a0-116c-0138-914f-740f24312a1c,Parish,,,,,,"Noirmont Farm, La Rue Voisin",,GEOMETRYCOLLECTION (POINT (-2.175598 49.174208)),Postal Address,,,St. Brelade,,,,Noirmont Farm,100408, ,,,,,
5063c380-116c-0138-914f-740f24312a1c,Parish,,,,,Archaeological Evaluation,"South Prospect & White Doves, Park Estate",Archaeological Evaluation,GEOMETRYCOLLECTION (POINT (-2.199845 49.187729)),Postal Address,,,St. Brelade,Absolute Archaeology was commissioned by Form Management Limited on behalf of the developer to undertake a watching brief at South Prospect. The results of the watching brief revealed an imported topsoil sealing truncated natural granite across the development area. The upper stratigraphy had been removed possibly due to to the development of South Prospect in the 20th century and thus the archaeological potential is significantly reduced. ,04/12/2014,,South Prospect & White Doves,100409,02/12/2014,,,,,
50626a10-116c-0138-914f-740f24312a1c,Parish,,,,,,"Bella Vista Farm, La Rue de Haut",,GEOMETRYCOLLECTION (POINT (-2.174008 49.181825)),Postal Address,,,St. Brelade,,,,Bella Vista Farm,100410, ,,,,,
