ResourceID,Title,Place Description,Language_Type,Geometry Qualifier,Title Type,Keyword,Address Type,Temporal Coverage Timespan,Administrative Subdivision Name,External XRef,Administrative Subdivision Type,Place Address,Copyright Description,Copyright Type,Primary Reference Number,Description,External Identifier Type,Information Carrier Format Type,Spatial Coordinates Geometry,Date of Publication,Information Carrier,Date of Creation,Bibliographic Reference,External Source,Document,Information Resource Type,Description Type,
5076aec0-116c-0138-9150-740f24312a1c,Beau Coin,,,,,,Postal Address,,St. Brelade,BR0011,Parish,"Beau Coin, Le Mont au Roux",,,100011,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.17483 49.194193)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5076b9c0-116c-0138-9150-740f24312a1c,La Sergente,,,,,Richmond Map,Postal Address,,St. Brelade,BR0012,Parish,"La Sergente, La Rue de la Sergenté",,,100012,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.224129 49.186073)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise</p>,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  </p>
<p>Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database</p>",,
5076c3e0-116c-0138-9150-740f24312a1c,Forest View,,,,,,Postal Address,,St. Brelade,BR0013,Parish,"Forest View, La Ruelle ès Ruaux",,,100013,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.161821 49.19555)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5076cfd0-116c-0138-9150-740f24312a1c,Le Franc Fief,,,,,Richmond Map,Postal Address,,St. Brelade,BR0014/BR0358,Parish,"Le Franc Fief, La Rue du Conet",,,100014,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.182454 49.19722)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise</p>,,"<p>Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 17.07.2019)</p>

<p>Leerson, M. & White, J. 2011. What's Your Street's Story?: Les Quennevais. [Unpublished talk]</p>

<p>Leerson, M. & White, J. 2011. Les Quennevais. In: Romeril, L., et al. What’s Your Street’s Story? Jersey Heritage Trust, Jersey, 105-113.</p>

<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. </p>

<p>Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.</p>

<p>Stevens, J. 1980. Old Jersey Houses, Volume One. Fourth ed. Phillimore, London.</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database</p>",,
5076db30-116c-0138-9150-740f24312a1c,Highlands,,,,,,Postal Address,,St. Brelade,BR0015,Parish,"Highlands, Le Mont du Coin",,,100015,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.173364 49.197663)),,<p>1.  Government of Jersey</p>,,"Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5076e620-116c-0138-9150-740f24312a1c,La Haule House,,,,,,Postal Address,,St. Brelade,BR0016,Parish,"La Haule House, La Route de l'Isle",,,100016,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.175435 49.196359)),,<p>1.  Government of Jersey</p>,,"<p>Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 17.07.2019) </p>
<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5076f0e0-116c-0138-9150-740f24312a1c,1-2 Le Coin Cottages,,,,,Richmond Map,Postal Address,,St. Brelade,BR0017,Parish,"1-2 Le Coin Cottages, Le Mont du Coin",,,100017,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.173235 49.196215)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise</p>,,"<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  </p>
<p>Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database</p>",,
5076fa60-116c-0138-9150-740f24312a1c,Site of Batterie Ziethen,,,,,German Occupation,Postal Address,,St. Brelade,,Parish,"Site of Batterie Ziethen, Le Mont de la Pulente",,,100018,,,,GEOMETRYCOLLECTION (POINT (-2.229369 49.186549)),,,,,,,,,
50770330-116c-0138-9150-740f24312a1c,Les Mans,,,,,,Postal Address,,St. Brelade,BR0019,Parish,"Les Mans, La Rue des Fosses à  Mortier",,,100019,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.18301 49.195517)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50771110-116c-0138-9150-740f24312a1c,Le Coin,,,,,Richmond Map,Postal Address,,St. Brelade,BR0020,Parish,"Le Coin, Le Mont du Coin",,,100020,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.173967 49.195645)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise </p><p>3.  Société Jersiaise Photographic Archive</p>,,"<p>Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 17.07.2019) </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  </p>
<p>Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database </p><p>3. Photograph (SJPA/008510)</p>",,
50771bf0-116c-0138-9150-740f24312a1c,Abreuvoir/Lavoir,,,,,,Postal Address,,St. Brelade,BR0021,Parish,"Abreuvoir/Lavoir, La Rue des Sauvalleries",,,100021,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.191911 49.200113)),,<p>1.  Government of Jersey</p>,,"Burch, J. & Tilling, T. 2015. Douets A Laver. Jersey Lavoirs. The history and location of Jersey Lavoirs. Société Jersiaise, Jersey.",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
507727e0-116c-0138-9150-740f24312a1c,Orange Farm,,,,,Richmond Map,Postal Address,,St. Brelade,BR0022,Parish,"Orange Farm, Le Mont Nicolle",,,100022,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.183489 49.18904)),,<p>1.  Government of Jersey</p>,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>Leerson, M. & White, J. 2011. What's Your Street's Story?: Les Quennevais. [Unpublished talk] </p>
<p>Leerson, M. & White, J. 2011. Les Quennevais. In: Romeril, L., et al. What's Your Street's Story? Jersey Heritage Trust, Jersey, 105-113. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. </p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
507732d0-116c-0138-9150-740f24312a1c,Meadow View,,,,,Richmond Map,Postal Address,,St. Brelade,BR0023,Parish,"Meadow View, La Blanche Charrière",,,100023,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.205378 49.186227)),,<p>1.  Government of Jersey</p>,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. </p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50774040-116c-0138-9150-740f24312a1c,La Hauteur,,,,,,Postal Address,,St. Brelade,BR0024,Parish,"La Hauteur, Le Mont les Vaux",,,100024,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.178495 49.184962)),,<p>1.  Government of Jersey</p>,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. </p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50774da0-116c-0138-9150-740f24312a1c,Bel Air,,,,,Richmond Map,Postal Address,,St. Brelade,BR0025,Parish,"Bel Air, Le Mont les Vaux",,,100025,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.177324 49.185172)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise</p>,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database</p>",,
50775ad0-116c-0138-9150-740f24312a1c,Belhaven,,,,,,Postal Address,,St. Brelade,BR0026,Parish,"Belhaven, La Route de la Haule",,,100026,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.161802 49.195289)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50776520-116c-0138-9150-740f24312a1c,Sur la Mer,,,,,,Postal Address,,St. Brelade,BR0027,Parish,"Sur la Mer, La Route de la Haule",,,100027,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.161954 49.195231)),,<p>1.  Government of Jersey </p><p>2.  Jersey Archive</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Advert (D/AS/C/1/70)</p>",,
507770f0-116c-0138-9150-740f24312a1c,Dell Farm,,,,,Richmond Map,Postal Address,,St. Brelade,BR0028,Parish,"Dell Farm, La Rue du Bocage",,,100028,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.178664 49.190625)),,<p>1.  Government of Jersey</p>,,"McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. ",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50777b50-116c-0138-9150-740f24312a1c,Derry Farm,,,,,,Postal Address,,St. Brelade,BR0029,Parish,"Derry Farm, La Route du Francfief",,,100029,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.181566 49.198745)),,<p>1.  Government of Jersey</p>,,"Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50778670-116c-0138-9150-740f24312a1c,Don Gruchy Stone,,,,,,Postal Address,,St. Brelade,BR0030,Parish,"Don Gruchy Stone, La Rue des Longchamps",,,100030,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.18172 49.194106)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
507790d0-116c-0138-9150-740f24312a1c,La Ferme du Roi,,,,,Richmond Map,Postal Address,,St. Brelade,BR0031,Parish,"La Ferme du Roi, La Rue du Bocage",,,100031,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.178311 49.190999)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise</p>,,"<p>Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 17.07.2019) </p>
<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  </p>
<p>Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database</p>",,
50779ac0-116c-0138-9150-740f24312a1c,La Fontaine,,,,,,Postal Address,,St. Brelade,BR0032,Parish,"La Fontaine, La Route du Francfief",,,100032,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.181627 49.199298)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5077a4a0-116c-0138-9150-740f24312a1c,West View,,,,,,Postal Address,,St. Brelade,BR0033,Parish,"West View, La Route de la Pulente",,,100033,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.229435 49.188579)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise</p>,,"Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database</p>",,
5077aeb0-116c-0138-9150-740f24312a1c,West View House ,,,,,,Postal Address,,St. Brelade,BR0034,Parish,"West View House , La Rue Carrée",,,100034,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.199409 49.202611)),,<p>1.  Government of Jersey</p>,,"McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. ",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5077b830-116c-0138-9150-740f24312a1c,Abreuvoir,,,,,,Postal Address,,St. Brelade,BR0035,Parish,"Abreuvoir, La Route de la Pulente",,,100035,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.229863 49.188237)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5077c390-116c-0138-9150-740f24312a1c,La Haule Slipway,,,,,German Occupation,Postal Address,,St. Brelade,BR0036,Parish,"La Haule Slipway, La Route de la Haule",,,100036,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.166508 49.192063)),,<p>1.  Government of Jersey </p><p>2.  Jersey Archive </p><p>3.  Société Jersiaise Photographic Archive</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Photographs (L/A/75/A2/WAR/22, L/A/75/A3/1/46, P/03/196/06-7) </p><p>3. Photographs (SJPA/010136, SJPA/019417, SJPA/034358)</p>",,
5077ce70-116c-0138-9150-740f24312a1c,St Brelade's Tower (No. 2),,,,,"Coastal Fortification,Richmond Map",Postal Address,,St. Brelade,BR0037,Parish,"St Brelade's Tower (No. 2), Le Mont Sohier",,,100037,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.192309 49.184428)),,<p>1.  Government of Jersey </p><p>2.  Société Jersiaise </p><p>3.  Jersey Archive  </p><p>4.  Jersey Heritage Social History collection  </p><p>5.  Jersey Heritage Art collection </p><p>6.  Société Jersiaise Photographic Archive</p>,,"Castledine, J. 2012. What's Your Street's Story?: St Brelade's Bay. [Unpublished talk]",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Sites and Monuments Database </p><p>3. Photographs (D/Q/S4/25-6, L/A/75/A2/BUI/50/4) </p><p>4. Postcards (sample of collection: JERSM/2004/00087/061, JERSM/2004/00087/080, JERSM/2004/00087/1012) </p><p>5. Drawing (SJA/0000/00918), Print (SJA/0000/01877) </p><p>6. Photographs (SJPA/002017, SJPA/002126, SJPA/002142, SJPA/002150, SJPA/002153)</p>",,
5077d980-116c-0138-9150-740f24312a1c,Le Coin Farm,,,,,Richmond Map,Postal Address,,St. Brelade,,Parish,"Le Coin Farm, Le Mont du Coin",,,100038,,,,GEOMETRYCOLLECTION (POINT (-2.172866 49.196321)),,,,"<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. </p>
<p>McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. </p>",,,,,
5077e2f0-116c-0138-9150-740f24312a1c,2 Nevada,,,,,,Postal Address,,St. Brelade,BR0039,Parish,"2 Nevada, Le Mont les Vaux",,,100039,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.179362 49.184106)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5077ed80-116c-0138-9150-740f24312a1c,Shrewsbury Villa ,,,,,,Postal Address,,St. Brelade,BR0040,Parish,"Shrewsbury Villa , Le Mont les Vaux",,,100040,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.179508 49.184095)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
5077f7a0-116c-0138-9150-740f24312a1c,1 Nevada,,,,,,Postal Address,,St. Brelade,BR0041,Parish,"1 Nevada, Le Mont les Vaux",,,100041,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.179231 49.184122)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50780580-116c-0138-9150-740f24312a1c,Milestone 'B4',,,,,,Postal Address,,St. Brelade,BR0042,Parish,"Milestone 'B4', La Route du Coin",,,100042,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.177283 49.195804)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
50780f50-116c-0138-9150-740f24312a1c,Le Vallon,,,,,,Postal Address,,St. Brelade,BR0043,Parish,"Le Vallon, Le Chemin des Bruleries",,,100043,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.191733 49.196151)),,<p>1.  Government of Jersey </p><p>2.  Jersey Heritage Art collection </p><p>3.  Jersey Archive</p>,,"<p>Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 17.07.2019) </p>
<p>Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Drawing (SJA/0000/02450) </p><p>3. Plan (L/A/06/A/170), Report (L/A/06/F/112)</p>",,
50781990-116c-0138-9150-740f24312a1c,Beauvoir Cottage,,,,,,Postal Address,,St. Brelade,BR0044,Parish,"Beauvoir Cottage, La Rue de Haut",,,100044,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.172658 49.183924)),,<p>1.  Government of Jersey</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey</p>",,
507822b0-116c-0138-9150-740f24312a1c,Mimosa,,,,,,Postal Address,,St. Brelade,BR0045,Parish,"Mimosa, Le Mont Sohier",,,100045,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.190806 49.184499)),,<p>1.  Government of Jersey </p><p>2.  Jersey Archive</p>,,,Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Photograph (L/A/75/A3/1/418)</p>",,
50782da0-116c-0138-9150-740f24312a1c,Lighthouse Keepers Cottages,,,,,,Postal Address,,St. Brelade,BR0046,Parish,"Lighthouse Keepers Cottages, La Rue de la Corbière",,,100046,,Listed building,,GEOMETRYCOLLECTION (POINT (-2.244168 49.181973)),,<p>1.  Government of Jersey </p><p>2.  Jersey Archive </p><p>3.  Société Jersiaise Photographic Archive</p>,,"<p>Balleine, G.R. & Stevens J (ed.) 1970. The Bailiwick of Jersey. Hodder & Stroughton, London. </p>
<p>Castledine, J. 2014. What's Your Street's Story?: Corbiere & Petit Port. [Unpublished talk]</p>",Government of Jersey,,"<p>1. Listing photographs, Historic Environment Resurvey </p><p>2. Plans (D/AL/A3/2294, D/AP1/A1060/62/9(72), D/AL/A7/643(D1)) </p><p>3. Photographs (SJPA/037056-7)</p>",,
